day,starting_equity,ending_equity,pnl,pnl_pct,trades,wins,losses,kill_switch
2026-05-06,95790.32,95790.32,0.00,0.0000,2,1,2,
2026-05-07,97287.60,97287.60,0.00,0.0000,4,2,3,
