timestamp,contract_symbol,exit_price,reason,pnl
2026-07-31T00:28:21.454223,SPY260730P00734000,0.54,stop_loss (-40.5%),-2173.00
2026-07-31T00:48:08.893622,SPY260730C00739000,1.11,stop_loss (-43.7%),-2088.00
2026-07-31T00:56:15.100830,SPY260730C00740000,0.43,stop_loss (-40.9%),-1972.00
