timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-06-05T23:57:21.700676,SPY,short,SPY260605P00750000,put,750.0,2026-06-05,33,1.93,1.96,1.93,6468.00,7.00,6.93,3.11,SPY ORB-short px=750.90 OR=751.20-752.82 contract=SPY260605P00750000 mid=1.93 spr=3.1%,a8a39c92-8f9a-4490-b8c4-284c8d4e083c
2026-06-05T23:57:24.167683,QQQ,short,QQQ260605P00727000,put,727.0,2026-06-05,17,3.58,3.65,3.63,6205.00,7.00,6.64,3.63,QQQ ORB-short px=727.93 OR=728.41-731.69 contract=QQQ260605P00727000 mid=3.58 spr=3.6%,6d59b7f4-3219-428f-b8e3-fb1208065918
2026-06-06T00:19:19.448612,SPY,short,SPY260605P00748000,put,748.0,2026-06-05,104,0.58,0.59,0.57,6136.00,7.00,6.96,1.71,SPY ORB-short px=749.32 OR=751.20-752.82 contract=SPY260605P00748000 mid=0.58 spr=1.7%,300501bb-b86c-4a4d-acc2-bb61129ffc45
2026-06-06T00:19:59.690285,QQQ,short,QQQ260605P00724000,put,724.0,2026-06-05,67,0.90,0.90,0.86,6030.00,7.00,6.90,1.12,QQQ ORB-short px=724.56 OR=728.41-731.69 contract=QQQ260605P00724000 mid=0.90 spr=1.1%,e0b990d6-faf7-44f8-b651-4d19ec9cbcce
