timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-07-23T23:57:35.647462,QQQ,long,QQQ260723C00698000,call,698.0,2026-07-23,22,1.75,1.76,1.73,3872.00,7.00,6.75,1.72,QQQ ORB-long px=697.37 OR=693.21-697.20 contract=QQQ260723C00698000 mid=1.75 spr=1.7%,f84a7071-a694-491d-a962-c5c325559dec
2026-07-23T23:58:16.519486,SPY,long,SPY260723C00743000,call,743.0,2026-07-23,57,0.69,0.69,0.71,3933.00,7.00,6.91,1.46,SPY ORB-long px=742.25 OR=738.47-741.87 contract=SPY260723C00743000 mid=0.69 spr=1.5%,12f50c4c-b70f-41e8-a4a6-2284af5d8a8f
2026-07-24T00:49:19.502654,QQQ,short,QQQ260723P00692000,put,692.0,2026-07-23,16,2.29,2.30,2.22,3680.00,7.00,6.79,0.87,QQQ ORB-short px=693.03 OR=693.21-697.20 contract=QQQ260723P00692000 mid=2.29 spr=0.9%,8fd50fc1-a0da-4478-8405-0449d7f855c8
2026-07-24T01:06:22.718996,QQQ,short,QQQ260723P00691000,put,691.0,2026-07-23,13,2.81,2.82,2.77,3666.00,7.00,6.55,0.36,QQQ ORB-short px=692.19 OR=693.21-697.20 contract=QQQ260723P00691000 mid=2.81 spr=0.4%,e4b2250c-8c0f-4c54-8651-ad00b6deb874
