timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-06-30T00:01:18.287425,QQQ,long,QQQ260629C00719000,call,719.0,2026-06-29,61,0.86,0.88,0.87,5368.00,7.00,6.98,3.47,QQQ ORB-long px=718.13 OR=711.88-716.96 contract=QQQ260629C00719000 mid=0.86 spr=3.5%,7793dd3a-56a7-4e83-a983-06f1b105f451
2026-06-30T00:02:32.415667,QQQ,long,QQQ260629C00718000,call,718.0,2026-06-29,58,0.90,0.91,0.93,5278.00,7.00,6.97,2.22,QQQ ORB-long px=716.98 OR=711.88-716.96 contract=QQQ260629C00718000 mid=0.90 spr=2.2%,75ecc1c1-8e1e-4287-b858-6c686c7e1da2
2026-06-30T00:20:33.453345,QQQ,short,QQQ260629P00711000,put,711.0,2026-06-29,9,5.27,5.29,5.28,4761.00,7.00,6.56,0.76,QQQ ORB-short px=711.65 OR=711.88-716.96 contract=QQQ260629P00711000 mid=5.27 spr=0.8%,4fd58034-9b33-44d5-b266-39dae1d5ab67
2026-06-30T00:21:11.856364,QQQ,short,QQQ260629P00710000,put,710.0,2026-06-29,11,4.41,4.44,4.40,4884.00,7.00,6.76,1.59,QQQ ORB-short px=710.72 OR=711.88-716.96 contract=QQQ260629P00710000 mid=4.41 spr=1.6%,539fb655-a6d1-4ca8-b439-be5e05608b95
