timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-06-04T00:00:48.986268,QQQ,short,QQQ260603P00743000,put,743.0,2026-06-03,31,2.14,2.16,2.15,6696.00,7.00,6.88,1.87,QQQ ORB-short px=744.20 OR=745.20-748.65 contract=QQQ260603P00743000 mid=2.14 spr=1.9%,73ed2f7e-4937-481f-b747-d040c0df0655
2026-06-04T00:02:39.395005,QQQ,short,QQQ260603P00742000,put,742.0,2026-06-03,44,1.51,1.52,1.45,6688.00,7.00,6.95,1.32,QQQ ORB-short px=742.88 OR=745.20-748.65 contract=QQQ260603P00742000 mid=1.51 spr=1.3%,84282526-a5ca-484d-be9e-f536a50d136d
2026-06-04T00:24:29.714735,QQQ,short,QQQ260603P00744000,put,744.0,2026-06-03,41,1.56,1.56,1.58,6396.00,7.00,6.96,0.64,QQQ ORB-short px=744.60 OR=745.20-748.65 contract=QQQ260603P00744000 mid=1.56 spr=0.6%,bb21c431-d4af-4706-85f4-1afa185fd4f2
2026-06-04T02:41:13.429603,QQQ,short,QQQ260603P00741000,put,741.0,2026-06-03,46,1.30,1.33,1.33,6118.00,7.00,6.86,4.62,QQQ ORB-short px=742.44 OR=745.20-748.65 contract=QQQ260603P00741000 mid=1.30 spr=4.6%,74128372-6650-4df4-8c4f-8b4cb33e8f0a
