timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-07-09T23:58:38.500419,SPY,long,SPY260709C00749000,call,749.0,2026-07-09,35,1.44,1.45,1.43,5075.00,7.00,6.91,0.69,SPY ORB-long px=748.38 OR=745.68-748.36 contract=SPY260709C00749000 mid=1.44 spr=0.7%,4c217e77-0675-4fab-80b0-b669ab4b1c83
2026-07-09T23:58:40.882258,QQQ,long,QQQ260709C00722000,call,722.0,2026-07-09,18,2.79,2.80,2.74,5040.00,7.00,6.86,0.36,QQQ ORB-long px=721.16 OR=716.50-721.07 contract=QQQ260709C00722000 mid=2.79 spr=0.4%,4e75e5af-eefc-4917-a4da-71a3558db35b
2026-07-10T00:10:43.787357,SPY,long,SPY260709C00750000,call,750.0,2026-07-09,86,0.56,0.56,0.55,4816.00,7.00,6.93,1.80,SPY ORB-long px=748.95 OR=745.68-748.36 contract=SPY260709C00750000 mid=0.56 spr=1.8%,290fab69-8ec6-4f07-8fc9-dfddb96881e3
2026-07-10T00:12:13.242244,QQQ,long,QQQ260709C00723000,call,723.0,2026-07-09,43,1.11,1.12,1.10,4816.00,7.00,6.98,1.80,QQQ ORB-long px=722.41 OR=716.50-721.07 contract=QQQ260709C00723000 mid=1.11 spr=1.8%,fb88b273-b79f-44b9-b9b3-da34e794b8c8
