timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-06-09T00:13:20.330973,SPY,short,SPY260608P00740000,put,740.0,2026-06-08,43,1.56,1.56,1.56,6708.00,7.00,6.93,0.64,SPY ORB-short px=741.34 OR=741.58-744.51 contract=SPY260608P00740000 mid=1.56 spr=0.6%,cfa93e1d-50cf-4ee7-8df0-365115d7087c
2026-06-09T00:13:22.927468,QQQ,short,QQQ260608P00713000,put,713.0,2026-06-08,30,2.17,2.18,2.08,6540.00,7.00,6.78,0.92,QQQ ORB-short px=714.19 OR=714.68-719.21 contract=QQQ260608P00713000 mid=2.17 spr=0.9%,1a60f134-b22e-4063-9fd1-ee90c05f926c
2026-06-09T00:31:34.634601,QQQ,short,QQQ260608P00714000,put,714.0,2026-06-08,46,1.35,1.38,1.34,6348.00,7.00,6.95,4.44,QQQ ORB-short px=714.66 OR=714.68-719.21 contract=QQQ260608P00714000 mid=1.35 spr=4.4%,51503608-4372-40d2-a9bb-cb40c134805f
2026-06-09T00:33:25.642697,SPY,short,SPY260608P00741000,put,741.0,2026-06-08,50,1.23,1.26,1.25,6300.00,7.00,6.91,4.05,SPY ORB-short px=741.56 OR=741.58-744.51 contract=SPY260608P00741000 mid=1.23 spr=4.0%,d7936b43-aebb-416f-b39f-48339180ed26
