timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-06-25T23:56:13.898324,QQQ,short,QQQ260625P00720000,put,720.0,2026-06-25,3,13.22,13.36,13.24,4008.00,7.00,5.78,2.12,QQQ ORB-short px=720.85 OR=721.97-726.83 contract=QQQ260625P00720000 mid=13.22 spr=2.1%,444b94d6-3dfb-4396-8934-687887c5fb2c
2026-06-25T23:57:32.540793,QQQ,short,QQQ260625P00719000,put,719.0,2026-06-25,4,11.84,11.87,11.64,4748.00,7.00,6.87,0.51,QQQ ORB-short px=719.83 OR=721.97-726.83 contract=QQQ260625P00719000 mid=11.84 spr=0.5%,2c7af3de-03ac-416b-bac1-14fc593166c4
2026-06-26T00:10:28.167431,QQQ,short,QQQ260625P00707000,put,707.0,2026-06-25,26,1.71,1.72,1.68,4472.00,7.00,6.81,0.58,QQQ ORB-short px=708.25 OR=721.97-726.83 contract=QQQ260625P00707000 mid=1.71 spr=0.6%,4cb0cd9a-b358-4dad-8a5c-d13f5ad9d90a
2026-06-26T00:11:06.727038,QQQ,short,QQQ260625P00706000,put,706.0,2026-06-25,29,1.56,1.58,1.60,4582.00,7.00,6.96,3.22,QQQ ORB-short px=707.35 OR=721.97-726.83 contract=QQQ260625P00706000 mid=1.56 spr=3.2%,28ac076a-fc09-4c99-88e2-9ae065db1c7d
