timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-06-02T23:56:11.807079,QQQ,short,QQQ260602P00739000,put,739.0,2026-06-02,72,1.02,1.02,1.00,7344.00,7.00,6.99,0.99,QQQ ORB-short px=739.86 OR=739.96-742.69 contract=QQQ260602P00739000 mid=1.02 spr=1.0%,5aa12ab1-07c6-4038-94e7-307a8d98da32
2026-06-03T00:09:36.935344,QQQ,long,QQQ260602C00744000,call,744.0,2026-06-02,36,1.94,1.95,1.90,7020.00,7.00,6.88,1.03,QQQ ORB-long px=742.93 OR=739.96-742.69 contract=QQQ260602C00744000 mid=1.94 spr=1.0%,3bf82354-d75c-442c-b49e-84a675c14f58
2026-06-03T00:15:33.925970,QQQ,long,QQQ260602C00745000,call,745.0,2026-06-02,49,1.44,1.45,1.46,7105.00,7.00,6.95,1.39,QQQ ORB-long px=743.52 OR=739.96-742.69 contract=QQQ260602C00745000 mid=1.44 spr=1.4%,802eb9e2-c86c-4b11-8536-755e49e4c5a2
2026-06-03T00:28:13.771185,QQQ,long,QQQ260602C00746000,call,746.0,2026-06-02,127,0.53,0.53,0.52,6731.00,7.00,6.99,1.90,QQQ ORB-long px=744.52 OR=739.96-742.69 contract=QQQ260602C00746000 mid=0.53 spr=1.9%,4acbdcc9-9369-49d9-b4e0-bf8c44f1aecd
