timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-05-23T00:22:31.953939,QQQ,short,QQQ260522P00716000,put,716.0,2026-05-22,43,1.81,1.82,1.84,7826.00,7.00,6.91,1.10,QQQ ORB-short px=717.06 OR=717.41-720.94 contract=QQQ260522P00716000 mid=1.81 spr=1.1%,8515c03a-4c30-49cc-b34b-90a0dc475902
2026-05-23T00:39:38.988253,QQQ,short,QQQ260522P00715000,put,715.0,2026-05-22,101,0.76,0.76,0.74,7676.00,7.00,6.97,1.32,QQQ ORB-short px=715.99 OR=717.41-720.94 contract=QQQ260522P00715000 mid=0.76 spr=1.3%,9dc56fbb-5fe2-42c4-b28c-8371ddf80fac
2026-05-23T01:35:11.376510,QQQ,long,QQQ260522C00722000,call,722.0,2026-05-22,71,1.02,1.05,1.03,7455.00,7.00,6.95,4.88,QQQ ORB-long px=720.98 OR=717.41-720.94 contract=QQQ260522C00722000 mid=1.02 spr=4.9%,39acf0f7-b849-4b8c-98c0-4be6e0a586c2
