timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-06-09T23:58:32.471131,SPY,long,SPY260609C00746000,call,746.0,2026-06-09,55,1.06,1.09,1.06,5995.00,7.00,6.96,4.69,SPY ORB-long px=745.02 OR=743.28-744.88 contract=SPY260609C00746000 mid=1.06 spr=4.7%,ef054236-b485-4396-a178-da661a93189c
2026-06-09T23:59:11.328228,QQQ,long,QQQ260609C00724000,call,724.0,2026-06-09,37,1.60,1.63,1.59,6031.00,7.00,6.98,3.75,QQQ ORB-long px=723.33 OR=720.49-723.11 contract=QQQ260609C00724000 mid=1.60 spr=3.7%,4e7eb4c9-270f-4a80-a209-0ebb46ff3edf
2026-06-10T00:26:20.094518,SPY,short,SPY260609P00742000,put,742.0,2026-06-09,28,1.93,1.97,1.88,5516.00,7.00,6.80,4.15,SPY ORB-short px=743.13 OR=743.28-744.88 contract=SPY260609P00742000 mid=1.93 spr=4.1%,69becbc7-67b7-453a-8b72-2cdddf79c923
2026-06-10T00:26:22.806096,QQQ,short,QQQ260609P00718000,put,718.0,2026-06-09,18,3.02,3.06,2.87,5508.00,7.00,6.79,2.99,QQQ ORB-short px=718.88 OR=720.49-723.11 contract=QQQ260609P00718000 mid=3.02 spr=3.0%,f16af684-4136-4357-8997-edbf1331f6c0
