timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-07-21T23:56:28.751966,SPY,short,SPY260721P00744000,put,744.0,2026-07-21,37,1.25,1.25,1.22,4625.00,7.00,6.86,0.80,SPY ORB-short px=744.83 OR=745.12-746.69 contract=SPY260721P00744000 mid=1.25 spr=0.8%,b15dd744-7d42-4ff9-be0e-1f171ba58f5a
2026-07-21T23:58:56.995258,SPY,short,SPY260721P00743000,put,743.0,2026-07-21,52,0.90,0.90,0.88,4680.00,7.00,6.96,1.12,SPY ORB-short px=744.48 OR=745.12-746.69 contract=SPY260721P00743000 mid=0.90 spr=1.1%,ac99c96a-c354-4638-975f-eb4221e54bb4
2026-07-22T00:18:53.549355,QQQ,short,QQQ260721P00703000,put,703.0,2026-07-21,28,1.55,1.56,1.51,4368.00,7.00,6.88,1.29,QQQ ORB-short px=704.42 OR=704.45-707.13 contract=QQQ260721P00703000 mid=1.55 spr=1.3%,3be0c4c0-3f3d-4090-9b96-3be8467d035e
2026-07-22T00:25:35.761691,QQQ,short,QQQ260721P00702000,put,702.0,2026-07-21,38,1.13,1.14,1.10,4332.00,7.00,6.87,1.77,QQQ ORB-short px=703.21 OR=704.45-707.13 contract=QQQ260721P00702000 mid=1.13 spr=1.8%,3eabcd2c-e164-442c-a537-d25b291c0404
