timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-06-24T23:57:21.775950,QQQ,short,QQQ260624P00712000,put,712.0,2026-06-24,20,2.46,2.48,2.38,4960.00,7.00,6.91,2.04,QQQ ORB-short px=713.33 OR=713.55-718.50 contract=QQQ260624P00712000 mid=2.46 spr=2.0%,44ae1f20-be7c-4ef7-bd0b-540f6cc12d08
2026-06-25T00:04:34.512952,QQQ,short,QQQ260624P00711000,put,711.0,2026-06-24,22,2.25,2.27,2.29,4994.00,7.00,6.92,1.33,QQQ ORB-short px=712.33 OR=713.55-718.50 contract=QQQ260624P00711000 mid=2.25 spr=1.3%,c941c18f-caa9-44e8-8195-f6dc12982b50
2026-06-25T01:00:31.153718,SPY,long,SPY260624C00739000,call,739.0,2026-06-24,26,1.87,1.90,1.87,4940.00,7.00,6.75,3.21,SPY ORB-long px=737.62 OR=734.32-737.29 contract=SPY260624C00739000 mid=1.87 spr=3.2%,b75c7f13-91ed-43b9-9775-de800e8215e5
2026-06-25T01:02:24.232710,QQQ,long,QQQ260624C00720000,call,720.0,2026-06-24,20,2.46,2.47,2.37,4940.00,7.00,6.72,0.81,QQQ ORB-long px=718.51 OR=713.55-718.50 contract=QQQ260624C00720000 mid=2.46 spr=0.8%,12c4c749-ac6d-4187-857b-08a08bc87af2
