timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-06-11T23:56:21.304533,SPY,short,SPY260611P00726000,put,726.0,2026-06-11,48,1.15,1.15,1.13,5520.00,7.00,6.90,0.87,SPY ORB-short px=726.71 OR=726.79-729.09 contract=SPY260611P00726000 mid=1.15 spr=0.9%,20f1c421-606d-49ff-8a4a-b0c46b04cca0
2026-06-12T00:01:35.351304,QQQ,long,QQQ260611C00702000,call,702.0,2026-06-11,10,5.56,5.58,5.98,5580.00,7.00,6.93,0.72,QQQ ORB-long px=700.90 OR=697.17-700.38 contract=QQQ260611C00702000 mid=5.56 spr=0.7%,d0b43338-f4a1-482d-aa37-93e84de7fbaa
2026-06-12T00:11:28.409861,SPY,long,SPY260611C00733000,call,733.0,2026-06-11,51,1.12,1.12,1.10,5712.00,7.00,6.89,0.90,SPY ORB-long px=731.51 OR=726.79-729.09 contract=SPY260611C00733000 mid=1.12 spr=0.9%,1bf253e4-6a07-45ab-8b2a-d3a35719fbc8
2026-06-12T00:16:46.981840,SPY,long,SPY260611C00731000,call,731.0,2026-06-11,38,1.44,1.47,1.43,5586.00,7.00,6.90,3.46,SPY ORB-long px=730.41 OR=726.79-729.09 contract=SPY260611C00731000 mid=1.44 spr=3.5%,79c596df-f924-46c9-b368-cbe1d1026b89
