timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-05-21T00:01:29.160106,SPY,long,SPY260520C00737000,call,737.0,2026-05-20,48,1.62,1.63,1.58,7824.00,7.00,6.89,0.62,SPY ORB-long px=736.46 OR=734.27-736.10 contract=SPY260520C00737000 mid=1.62 spr=0.6%,30a0c34a-3a6c-4abe-9622-4840779de8a4
2026-05-21T00:02:09.515452,SPY,long,SPY260520C00738000,call,738.0,2026-05-20,73,1.08,1.08,1.09,7884.00,7.00,6.97,0.93,SPY ORB-long px=737.21 OR=734.27-736.10 contract=SPY260520C00738000 mid=1.08 spr=0.9%,7c8fff8e-adda-41e4-8ede-c96133fd0e58
2026-05-21T00:28:33.060480,SPY,short,SPY260520P00733000,put,733.0,2026-05-20,126,0.66,0.66,0.64,8316.00,7.00,6.96,1.53,SPY ORB-short px=734.26 OR=734.27-736.10 contract=SPY260520P00733000 mid=0.66 spr=1.5%,1fa172f1-f560-4a64-8152-02658f1d893c
2026-05-21T00:32:20.002098,SPY,long,SPY260520C00739000,call,739.0,2026-05-20,44,1.85,1.85,1.87,8140.00,7.00,6.99,0.54,SPY ORB-long px=738.00 OR=734.27-736.10 contract=SPY260520C00739000 mid=1.85 spr=0.5%,4ed388ca-bd27-4449-b7e3-6f7ea8ad619e
