timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-05-29T23:57:14.872571,QQQ,long,QQQ260529C00741000,call,741.0,2026-05-29,42,1.94,1.95,1.96,8190.00,7.00,6.93,1.03,QQQ ORB-long px=739.59 OR=737.43-739.21 contract=QQQ260529C00741000 mid=1.94 spr=1.0%,133589ba-c49e-4853-8eed-707beb16e74c
2026-05-29T23:58:30.254775,QQQ,long,QQQ260529C00740000,call,740.0,2026-05-29,33,2.42,2.43,2.45,8019.00,7.00,6.81,0.83,QQQ ORB-long px=739.34 OR=737.43-739.21 contract=QQQ260529C00740000 mid=2.42 spr=0.8%,f263898e-93f2-49ac-8037-327c14726107
2026-05-30T00:17:35.264199,QQQ,long,QQQ260529C00742000,call,742.0,2026-05-29,105,0.73,0.74,0.76,7770.00,7.00,6.98,1.36,QQQ ORB-long px=741.37 OR=737.43-739.21 contract=QQQ260529C00742000 mid=0.73 spr=1.4%,11da49aa-7e88-4bde-ad1b-385a525a72d3
2026-05-30T00:42:36.592059,QQQ,short,QQQ260529P00736000,put,736.0,2026-05-29,37,1.99,2.01,1.95,7433.30,7.00,6.88,1.45,QQQ ORB-short px=737.17 OR=737.43-739.21 contract=QQQ260529P00736000 mid=1.99 spr=1.5%,fb83848b-77a6-445a-ad8f-c05dfc73fbbe
