timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-05-14T23:57:26.408095,QQQ,long,QQQ260514C00719000,call,719.0,2026-05-14,35,2.08,2.11,2.07,7385.00,7.00,6.84,2.88,QQQ ORB-long px=717.86 OR=714.22-717.65 contract=QQQ260514C00719000 mid=2.08 spr=2.9%,5339ce43-f6e7-44cd-badc-4dc6b6e4d8fa
2026-05-15T00:01:13.617800,QQQ,long,QQQ260514C00720000,call,720.0,2026-05-14,48,1.54,1.56,1.55,7488.00,7.00,6.97,1.94,QQQ ORB-long px=719.06 OR=714.22-717.65 contract=QQQ260514C00720000 mid=1.54 spr=1.9%,6d776a74-8b07-4005-9985-95c189b22f28
2026-05-15T00:59:20.900115,QQQ,long,QQQ260514C00721000,call,721.0,2026-05-14,62,1.21,1.22,1.22,7564.00,7.00,6.96,0.82,QQQ ORB-long px=719.56 OR=714.22-717.65 contract=QQQ260514C00721000 mid=1.21 spr=0.8%,39b05f4d-da80-480d-92b7-d5b46e9b07cc
2026-05-15T01:26:54.082415,QQQ,long,QQQ260514C00722000,call,722.0,2026-05-14,52,1.58,1.59,1.56,8268.00,7.00,6.97,0.63,QQQ ORB-long px=720.70 OR=714.22-717.65 contract=QQQ260514C00722000 mid=1.58 spr=0.6%,602c427d-ef25-4a58-9cbc-fed99e42879e
