timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-07-28T23:58:22.208174,SPY,short,SPY260728P00736000,put,736.0,2026-07-28,30,1.65,1.66,1.70,4980.00,7.00,6.78,0.60,SPY ORB-short px=737.26 OR=737.76-739.49 contract=SPY260728P00736000 mid=1.65 spr=0.6%,cce9bbc0-1f15-4b0a-955e-8399d5f19297
2026-07-28T23:58:24.928664,QQQ,short,QQQ260728P00671000,put,671.0,2026-07-28,13,3.79,3.84,3.78,4992.00,7.00,6.80,2.37,QQQ ORB-short px=671.65 OR=672.32-677.32 contract=QQQ260728P00671000 mid=3.79 spr=2.4%,4d4277da-0e08-4390-8b8c-ccc806ee8a33
2026-07-29T00:07:32.321462,QQQ,short,QQQ260728P00670000,put,670.0,2026-07-28,24,1.98,2.00,2.35,4800.00,7.00,6.90,1.51,QQQ ORB-short px=670.85 OR=672.32-677.32 contract=QQQ260728P00670000 mid=1.98 spr=1.5%,5ea9b3a3-0731-454f-b696-5a08b7f17b9b
2026-07-29T00:24:46.276613,QQQ,short,QQQ260728P00669000,put,669.0,2026-07-28,23,2.14,2.16,2.42,4968.00,7.00,6.93,1.87,QQQ ORB-short px=670.08 OR=672.32-677.32 contract=QQQ260728P00669000 mid=2.14 spr=1.9%,7c721ae1-188c-4b3b-8338-beab679798a5
