timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-05-11T23:57:58.876657,SPY,long,SPY260511C00739000,call,739.0,2026-05-11,81,0.91,0.91,0.89,7371.00,7.00,6.97,1.10,SPY ORB-long px=737.99 OR=736.45-737.95 contract=SPY260511C00739000 mid=0.91 spr=1.1%,dadf9b28-6ea7-4d94-9788-0095177011c4
2026-05-12T00:01:10.463477,SPY,long,SPY260511C00740000,call,740.0,2026-05-11,145,0.51,0.51,0.53,7395.00,7.00,6.98,1.98,SPY ORB-long px=738.72 OR=736.45-737.95 contract=SPY260511C00740000 mid=0.51 spr=2.0%,d4eb2fa1-3c4b-4995-83f0-8b9e2a552268
2026-05-12T00:47:32.020356,QQQ,short,QQQ260511P00708000,put,708.0,2026-05-11,118,0.60,0.61,0.61,7198.00,7.00,6.96,1.65,QQQ ORB-short px=709.25 OR=709.77-713.50 contract=QQQ260511P00708000 mid=0.60 spr=1.7%,d32a7383-332e-4271-8942-5669e25bce6b
2026-05-12T01:10:16.361849,SPY,long,SPY260511C00741000,call,741.0,2026-05-11,221,0.32,0.32,0.30,7072.00,7.00,6.98,3.17,SPY ORB-long px=739.79 OR=736.45-737.95 contract=SPY260511C00741000 mid=0.32 spr=3.2%,439b28a9-b4b3-4491-95a4-9f1db8d5f3ec
