timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-07-01T00:07:28.587208,QQQ,long,QQQ260630C00731000,call,731.0,2026-06-30,16,2.92,2.93,2.92,4688.00,7.00,6.84,1.03,QQQ ORB-long px=729.99 OR=723.91-729.45 contract=QQQ260630C00731000 mid=2.92 spr=1.0%,24b9ff07-2c4f-4c3b-ba9b-9a7058db3814
2026-07-01T00:11:07.552943,QQQ,long,QQQ260630C00732000,call,732.0,2026-06-30,21,2.19,2.23,2.17,4683.00,7.00,6.86,3.65,QQQ ORB-long px=730.76 OR=723.91-729.45 contract=QQQ260630C00732000 mid=2.19 spr=3.7%,fbf545bd-788d-46b6-97e2-de260c83eba1
2026-07-01T00:42:21.682439,QQQ,long,QQQ260630C00734000,call,734.0,2026-06-30,35,1.37,1.38,1.45,4830.00,7.00,6.97,1.46,QQQ ORB-long px=732.98 OR=723.91-729.45 contract=QQQ260630C00734000 mid=1.37 spr=1.5%,20080add-0e25-4c11-8d7e-df8f48f8f06c
2026-07-01T00:57:41.149112,QQQ,long,QQQ260630C00733000,call,733.0,2026-06-30,39,1.15,1.16,1.15,4524.00,7.00,6.91,0.87,QQQ ORB-long px=732.40 OR=723.91-729.45 contract=QQQ260630C00733000 mid=1.15 spr=0.9%,85d6d071-cc8d-4977-abbf-28e480780bc0
