timestamp,underlying,direction,contract_symbol,contract_type,strike,expiry,qty,entry_mid,entry_ask,fill_price,total_cost,target_pct,actual_pct,spread_pct,reason,order_id
2026-05-28T23:56:12.407749,QQQ,short,QQQ260528P00727000,put,727.0,2026-05-28,44,1.84,1.85,1.80,8140.00,7.00,6.93,1.09,QQQ ORB-short px=727.73 OR=727.98-731.12 contract=QQQ260528P00727000 mid=1.84 spr=1.1%,7ee35a6c-46e8-4de7-a1de-b10b4a646d67
2026-05-28T23:59:19.418761,QQQ,short,QQQ260528P00726000,put,726.0,2026-05-28,59,1.38,1.38,1.39,8142.00,7.00,6.94,0.73,QQQ ORB-short px=727.48 OR=727.98-731.12 contract=QQQ260528P00726000 mid=1.38 spr=0.7%,a1675b9c-4227-4771-8405-f224b7792514
2026-05-29T00:28:20.080177,QQQ,long,QQQ260528C00733000,call,733.0,2026-05-28,63,1.21,1.22,1.24,7686.00,7.00,6.95,1.65,QQQ ORB-long px=731.60 OR=727.98-731.12 contract=QQQ260528C00733000 mid=1.21 spr=1.7%,771e774b-d685-4996-bec2-489c6f6a5a1b
2026-05-29T00:29:26.120900,QQQ,long,QQQ260528C00734000,call,734.0,2026-05-28,79,0.97,0.98,0.97,7742.00,7.00,6.96,1.03,QQQ ORB-long px=732.57 OR=727.98-731.12 contract=QQQ260528C00734000 mid=0.97 spr=1.0%,e3e82578-03a1-4072-9440-8ef670548a3b
